ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,4,0,-4
1,0,0,43,0,-43
2,1,1,87,1265,1178
3,1,1,116,1301,1185
4,1,0,67,0,-67
5,0,0,75,0,-75
6,0,0,115,0,-115
7,1,0,0,0,0
8,1,1,154,1792,1638
9,1,1,55,1202,1147
10,1,1,451,1580,1129
11,0,0,24,0,-24
12,1,0,8,0,-8
13,0,0,10,0,-10
14,0,0,90,0,-90
15,0,0,32,0,-32
16,1,1,889,1915,1026
17,1,1,24,1251,1227
18,0,0,36,0,-36
19,1,0,38,0,-38
20,1,1,473,1571,1098
21,0,0,6,0,-6
22,0,0,3,0,-3
23,0,0,2,0,-2
24,0,0,13,0,-13
25,1,1,550,1544,994
26,0,0,110,0,-110
27,1,0,57,0,-57
28,0,0,21,0,-21
29,1,1,307,1587,1280
30,0,0,122,0,-122
31,1,0,5,0,-5
32,0,0,11,0,-11
33,1,0,26,0,-26
34,0,0,10,0,-10
35,1,1,280,1861,1581
36,0,0,2,0,-2
37,0,0,146,0,-146
38,1,1,1275,1325,50
39,1,1,113,1330,1217
40,1,1,225,1698,1473
41,1,0,29,0,-29
42,1,0,9,0,-9
43,0,0,4,0,-4
44,0,0,21,0,-21
45,1,0,16,0,-16
46,1,0,88,0,-88
47,1,0,94,0,-94
48,1,0,63,0,-63
49,1,1,889,1972,1083
50,1,1,380,1446,1066
51,1,0,40,0,-40
52,0,0,11,0,-11
53,1,0,86,0,-86
54,1,1,1129,1776,647
55,1,0,4,0,-4
56,1,1,271,1326,1055
57,1,1,324,1302,978
58,0,0,7,0,-7
59,1,1,433,1566,1133
60,1,0,82,0,-82
61,1,1,699,1673,974
62,1,1,179,1345,1166
63,1,0,0,0,0
64,1,1,233,1325,1092
65,1,0,107,0,-107
66,1,0,11,0,-11
67,1,1,181,1789,1608
68,1,0,13,0,-13
69,1,0,43,0,-43
70,0,0,97,0,-97
71,1,1,1785,1637,-148
72,1,1,899,1391,492
73,0,0,23,0,-23
74,1,0,47,0,-47
75,1,0,19,0,-19
76,1,1,174,1715,1541
77,0,0,4,0,-4
78,1,1,312,1257,945
79,1,0,143,0,-143
80,0,0,2,0,-2
81,1,1,281,1389,1108
82,0,0,11,0,-11
83,1,0,24,0,-24
84,1,0,64,0,-64
85,0,0,10,0,-10
86,0,0,0,0,0
87,0,0,133,0,-133
88,0,0,3,0,-3
89,0,0,4,0,-4
90,0,0,1,0,-1
91,0,0,89,0,-89
92,1,0,25,0,-25
93,1,1,397,1869,1472
94,0,0,201,0,-201
95,0,0,40,0,-40
96,1,1,1054,2012,958
97,0,0,2,0,-2
98,1,0,5,0,-5
99,1,1,329,1254,925
100,0,0,24,0,-24
101,1,0,8,0,-8
102,0,0,18,0,-18
103,1,0,5,0,-5
104,0,0,8,0,-8
105,1,1,296,1742,1446
106,1,0,3,0,-3
107,1,1,1701,1322,-379
108,0,0,6,0,-6
109,1,1,276,2067,1791
110,0,0,57,0,-57
111,0,0,89,0,-89
112,1,1,159,1358,1199
113,1,0,101,0,-101
114,0,0,69,0,-69
115,0,0,7,0,-7
116,1,0,13,0,-13
117,1,0,172,0,-172
118,1,0,3,0,-3
119,1,0,78,0,-78
120,1,1,815,1376,561
121,1,1,293,1461,1168
122,1,0,44,0,-44
123,0,0,25,0,-25
124,0,0,32,0,-32
125,1,1,663,1273,610
126,0,0,36,0,-36
127,1,0,85,0,-85
128,0,0,46,0,-46
129,1,0,98,0,-98
130,0,0,71,0,-71
131,1,1,106,3115,3009
132,0,0,23,0,-23
133,1,0,228,0,-228
134,1,1,583,1729,1146
135,1,0,58,0,-58
136,0,0,137,0,-137
137,0,0,24,0,-24
138,0,0,244,0,-244
139,1,1,1092,1343,251
140,0,0,11,0,-11
141,1,1,181,1564,1383
142,1,1,903,1277,374
143,1,0,10,0,-10
144,1,1,278,1349,1071
145,1,1,762,1776,1014
146,0,0,11,0,-11
147,1,0,63,0,-63
148,0,0,9,0,-9
149,0,0,18,0,-18
150,0,0,36,0,-36
151,0,0,18,0,-18
152,1,0,24,0,-24
153,0,0,58,0,-58
154,0,0,111,0,-111
155,1,1,203,4436,4233
156,1,0,55,0,-55
157,1,0,63,0,-63
158,1,1,1373,2234,861
159,1,1,448,1504,1056
160,1,1,119,1570,1451
161,1,0,99,0,-99
162,1,1,144,1346,1202
163,1,1,1333,1239,-94
164,1,1,247,1300,1053
165,1,0,94,0,-94
166,1,0,133,0,-133
167,0,0,9,0,-9
168,1,1,201,1462,1261
169,1,1,1054,1638,584
170,0,0,90,0,-90
171,0,0,57,0,-57
172,1,1,816,1432,616
173,0,0,41,0,-41
174,0,0,18,0,-18
175,1,1,337,1284,947
176,1,1,51,2755,2704
177,1,1,248,2223,1975
178,0,0,22,0,-22
179,1,1,252,1693,1441
180,1,0,24,0,-24
181,1,0,41,0,-41
182,0,0,24,0,-24
183,1,0,23,0,-23
184,1,0,18,0,-18
185,1,1,197,2032,1835
