ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,38,0,-38
1,1,0,174,0,-174
2,0,0,53,0,-53
3,0,0,53,0,-53
4,0,0,64,0,-64
5,1,1,245,2007,1762
6,1,0,63,0,-63
7,0,0,61,0,-61
8,1,0,50,0,-50
9,0,0,27,0,-27
10,1,0,74,0,-74
11,1,0,98,0,-98
12,1,1,213,1274,1061
13,1,0,55,0,-55
14,1,1,91,2017,1926
15,0,0,50,0,-50
16,1,0,8,0,-8
17,0,0,96,0,-96
18,1,0,171,0,-171
19,0,0,9,0,-9
20,0,0,73,0,-73
21,1,1,110,2002,1892
22,0,0,41,0,-41
23,0,0,48,0,-48
24,1,0,84,0,-84
25,0,0,27,0,-27
26,1,1,97,1274,1177
27,1,1,126,1440,1314
28,1,1,159,1366,1207
29,1,0,6,0,-6
30,1,1,273,1852,1579
31,0,0,46,0,-46
32,1,1,429,1317,888
33,1,1,211,1519,1308
34,0,0,17,0,-17
35,1,0,35,0,-35
36,1,0,8,0,-8
37,1,1,370,1724,1354
38,1,1,47,1586,1539
39,1,0,73,0,-73
40,1,1,67,1312,1245
41,1,0,4,0,-4
42,1,1,175,1318,1143
43,1,0,110,0,-110
44,1,0,3,0,-3
45,0,0,28,0,-28
46,0,0,150,0,-150
47,1,0,49,0,-49
48,0,0,7,0,-7
49,1,1,598,1404,806
50,0,0,102,0,-102
51,0,0,0,0,0
52,1,0,69,0,-69
53,1,0,52,0,-52
54,1,1,614,1487,873
55,1,1,522,1358,836
56,0,0,45,0,-45
57,0,0,51,0,-51
58,1,0,78,0,-78
59,1,0,4,0,-4
60,1,1,413,1526,1113
61,0,0,38,0,-38
62,1,0,92,0,-92
63,1,0,82,0,-82
64,0,0,40,0,-40
65,1,1,589,1420,831
66,0,0,58,0,-58
67,0,0,71,0,-71
68,0,0,212,0,-212
69,1,0,31,0,-31
70,0,0,39,0,-39
71,0,0,67,0,-67
72,1,0,5,0,-5
73,0,0,23,0,-23
74,0,0,40,0,-40
75,0,0,15,0,-15
76,1,1,379,1371,992
77,1,1,98,1281,1183
78,0,0,40,0,-40
79,1,1,197,1218,1021
80,1,0,45,0,-45
81,1,0,35,0,-35
82,0,0,12,0,-12
83,0,0,11,0,-11
84,1,0,101,0,-101
85,1,0,58,0,-58
86,1,0,71,0,-71
87,0,0,23,0,-23
88,1,0,59,0,-59
89,0,0,169,0,-169
90,0,0,3,0,-3
91,1,0,30,0,-30
92,1,1,62,1471,1409
93,1,1,186,1227,1041
