ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,27,20081.12211500676,0.15217440432043094,1,161,5313,2250,7402
1,53,22526.18753615083,0.07600745738731261,1,383,11138,1393,12148
2,44,21983.56818600998,0.031502954710928004,1,584,6508,5658,11582
3,60,23936.334428798775,0.04168359467314353,1,181,5925,1761,7505
4,26,23831.29177964449,0.33424314946844924,0,4,0,0,-4
5,39,54513.89351868875,0.22036175283795187,1,233,6512,1733,8012
6,31,22470.295402613247,0.009771879337219012,1,373,6684,2014,8325
7,62,22993.674685597707,0.36918363976712437,0,199,0,0,-199
8,62,21249.398201295833,0.18984617655546254,1,754,8038,1678,8962
9,28,22333.72470859213,0.2728928539960163,1,111,7842,1454,9185
10,50,41807.10774879001,0.07713673621476315,1,131,5271,3179,8319
11,22,25015.478959636785,0.012126021401141702,0,19,0,0,-19
12,55,32526.588915437074,0.0975434881753097,0,28,0,0,-28
13,38,33765.63429495385,0.004585702606565974,1,1361,9286,1358,9283
14,72,22848.843881394347,0.22154887181133387,1,1604,7167,4348,9911
15,53,23280.195009157567,0.015449527091668145,1,931,6611,1661,7341
16,53,23689.158511119644,0.08270449688007227,1,330,5478,1380,6528
17,59,21315.301666675718,0.10501355110631935,1,628,5470,1614,6456
18,36,63751.40949041702,0.12076538254564687,1,51,5498,21798,27245
19,60,20192.799865993955,0.26815905492606334,1,370,5836,1555,7021
20,23,22519.12168673026,0.2799752811223383,0,8,0,0,-8
21,35,51624.46612656471,0.08022278648531075,0,26,0,0,-26
22,25,53343.65016191634,0.11197561051280888,1,642,6445,1866,7669
23,48,34327.35832146126,0.1974125289148737,0,45,0,0,-45
24,26,21161.506659563085,0.018158947657895684,1,102,6402,2088,8388
25,28,24087.239482913137,0.08635858162670858,1,1231,8147,4573,11489
26,26,25786.408714443292,0.018992992534172075,1,901,6138,4456,9693
27,71,22030.545546117937,0.2844400361884993,1,793,6266,1760,7233
28,62,27334.121961567926,0.014225659017591836,1,1431,6734,1894,7197
29,27,35195.635277274276,0.008837447232678609,1,365,7276,1472,8383
30,39,20498.533609499253,0.010955133254394742,1,315,19067,3120,21872
31,42,21471.718338845334,0.09898707218528269,1,324,19972,1675,21323
32,67,22972.05854819534,0.3870610168754201,0,84,0,0,-84
33,36,22978.78873683707,0.28645873009722617,1,851,15344,1603,16096
34,55,22912.73663245623,0.17761989142755671,1,1477,5607,6044,10174
35,32,31676.91799520544,0.07266437501581816,1,358,5707,2040,7389
36,74,34229.86110258546,0.07786554926146995,0,142,0,0,-142
37,26,20511.835551667962,0.21517339847042977,0,43,0,0,-43
38,34,22361.030897396286,0.2030019684228487,1,302,5707,1809,7214
39,49,20610.788884198697,0.08545844750689349,1,313,7353,1850,8890
40,40,56837.83461524617,0.10237386049101388,1,284,6004,1430,7150
41,30,39597.61024369468,0.2083887262442334,1,226,9444,2319,11537
42,66,34638.38276310476,0.13917232884478103,0,5,0,0,-5
43,31,24187.584180836595,0.43558951183640493,0,39,0,0,-39
44,75,24341.755316345083,0.08521477736328346,1,273,5591,1507,6825
45,40,23966.88858352365,0.17447340952587342,0,1,0,0,-1
46,30,24219.100508040592,0.04421590408233138,1,662,6627,1611,7576
47,29,22679.978121912398,0.36751444278802636,0,109,0,0,-109
48,18,36990.56167848074,0.027760420225550413,1,154,7272,1418,8536
49,39,35508.2591175317,0.03162103600540556,1,1206,6287,2566,7647
50,56,23609.19340027429,0.14939507151374806,1,155,7344,1638,8827
51,19,35979.120421795895,0.04602073581661254,0,42,0,0,-42
52,35,24412.627298399904,0.23650134155926938,0,10,0,0,-10
53,51,34798.676332509225,0.3018742688564089,0,7,0,0,-7
54,22,23969.689813421384,0.1417691837093598,0,24,0,0,-24
55,19,26830.799734337495,0.252356206068627,0,21,0,0,-21
56,22,46992.18252088203,0.08485745818044173,1,223,12871,1962,14610
57,46,26195.186656252914,0.4499408237120443,0,7,0,0,-7
58,28,21815.61611499263,0.040785498640388045,0,40,0,0,-40
59,36,24674.745535366535,0.3743598721581614,1,526,6383,2293,8150
60,40,20466.449260377187,0.03451447991911812,1,474,6557,2005,8088
61,43,26458.420619512508,0.062472908014969235,1,97,5879,1759,7541
62,18,30526.837476470933,0.046143978086637776,0,9,0,0,-9
63,38,102852.26433798858,0.13484271776746462,1,31,19689,1454,21112
64,50,20946.277915934876,0.05834045298693226,1,431,10007,3087,12663
65,38,21115.67444037778,0.05241118902308004,0,50,0,0,-50
66,68,27487.449471297838,0.07560427298147,1,1111,21677,1718,22284
67,53,22429.53876268782,0.1530564239374785,0,80,0,0,-80
68,28,23467.662224894648,0.09676467777365444,1,671,6068,1361,6758
69,48,23776.812120849663,0.2570702987877308,0,31,0,0,-31
70,47,24205.467453937406,0.16413571655803325,1,178,5628,5553,11003
71,55,25696.015735131165,0.1704920261652844,0,46,0,0,-46
72,35,25106.610361112525,0.067397225536246,1,1609,5319,1695,5405
73,51,44543.12798367739,0.004880967900825386,0,74,0,0,-74
74,30,22228.946127400886,0.059118250517636535,1,759,6305,1527,7073
75,20,20857.21627017424,0.25371305693168805,1,219,11521,2607,13909
76,26,28033.95386001951,0.12751226509434455,0,54,0,0,-54
77,29,25850.412071488343,0.1986938083695334,1,1208,33145,1968,33905
78,56,20918.871568381906,0.49417493316980066,0,23,0,0,-23
79,64,31025.714840829536,0.16482889902417924,1,2342,5403,4106,7167
80,49,22828.521534330357,0.1990568901600416,1,875,6151,1695,6971
81,20,20740.428226094675,0.038739150335358886,1,575,5455,1931,6811
82,20,20402.545597251436,0.18372311668727584,0,21,0,0,-21
83,74,135089.78176860773,0.14615300423955085,1,510,14629,1811,15930
84,19,25337.35698546291,0.03424226005605826,1,304,7647,1410,8753
85,23,21717.216268671375,0.1241589345118832,1,181,5771,2063,7653
86,29,22829.688734303716,0.008114273593851156,1,1062,9214,2082,10234
87,69,20195.32665917687,0.4314588328976379,1,185,11590,1617,13022
88,23,32818.19062883463,0.15632656231174544,1,689,8720,1819,9850
89,34,22981.55443562944,0.24632687617044094,1,567,6502,2054,7989
90,29,23338.351694918445,0.03910521701744589,0,138,0,0,-138
91,19,22029.260533516037,0.06872286278981513,1,918,8166,1343,8591
92,20,39759.85034511629,0.2054091595050745,0,101,0,0,-101
93,27,23822.778259111925,0.02563312136877444,0,0,0,0,0
94,69,122359.11993947258,0.05665768899392288,1,276,8937,1671,10332
95,45,36912.32036699525,0.16971195948743126,0,11,0,0,-11
96,39,25866.998035730907,0.004921238590753303,1,175,5904,1657,7386
97,39,20250.2128912729,0.08997270084374491,1,414,23096,1662,24344
98,25,27288.79891309945,0.20753495040619319,0,6,0,0,-6
99,30,30389.587860042568,0.05563949630354767,0,133,0,0,-133
100,70,20683.44353304105,0.006254793976718451,1,330,7202,1877,8749
101,27,20494.735743370737,0.09350830352353166,0,7,0,0,-7
102,68,24358.234698065844,0.27314265551802946,1,241,18694,2402,20855
103,18,20614.142858134226,0.033174828411272665,1,385,7673,1450,8738
104,70,22099.2215874591,0.00038746486470694755,0,8,0,0,-8
105,38,23215.207184806564,0.10953438386062063,1,278,9680,2424,11826
106,19,23890.90411892486,0.11423983989827938,0,2,0,0,-2
107,32,39671.985846435884,0.09781601950387228,1,463,6580,1473,7590
108,34,35684.5100956197,0.021928576527248993,1,351,18878,1362,19889
109,72,24300.622537916526,0.03042022384881205,1,50,12159,2150,14259
110,46,46211.094578767494,0.18330764577053466,1,258,11773,1895,13410
111,54,22640.880518098744,0.05869950984472283,1,101,9578,2664,12141
112,26,20569.479816878098,0.08345367727267103,1,650,5246,1820,6416
113,20,92082.74510140381,0.17590035506033944,1,1530,9640,1493,9603
114,64,20999.973948676263,0.17466098045162853,1,394,12052,2714,14372
115,34,20679.543946846297,0.22587268108175237,1,130,8636,1853,10359
116,18,25307.712171187522,0.11389515036891373,1,197,6909,1381,8093
117,33,33998.39218746664,0.1551709620367119,0,29,0,0,-29
118,45,21742.360803847296,0.14408790194928728,0,290,0,0,-290
119,42,21865.949044281995,0.2717310425163658,1,2166,6308,1498,5640
120,28,28814.01722882082,0.06279914682796559,1,111,22372,1605,23866
121,25,22617.822001313154,0.014520029302652513,1,299,7007,1590,8298
122,74,20938.021039915748,0.06493154097666307,1,114,7022,1786,8694
123,30,39414.803082281054,0.028072605200049738,1,782,12996,1784,13998
124,53,21976.760311597398,0.13826635904355028,1,514,6877,1582,7945
125,47,21949.953724631923,0.1718837589893805,1,515,6425,1949,7859
126,21,22529.15598451448,0.09930551246387047,0,10,0,0,-10
127,69,39306.08307277967,0.1458405050531226,1,285,5276,1498,6489
128,43,21398.39258867847,0.058884000239345445,1,1077,11705,1485,12113
129,21,25231.76891572937,0.1062014020531159,0,30,0,0,-30
130,21,26398.853241281293,0.04308945943930179,1,402,12354,1749,13701
131,51,22636.585362853926,0.2821817080334314,1,347,9656,4345,13654
132,28,20632.456168336987,0.010772736608985943,1,773,6636,2151,8014
133,30,36891.760877716704,0.06765644807429473,0,256,0,0,-256
134,26,34128.60493097736,0.09393365810098199,1,155,6167,1539,7551
135,46,20351.8604913647,0.020883487885735255,1,99,7929,1339,9169
136,28,28702.38058910258,0.24295677238501914,1,283,7525,1772,9014
137,21,45439.83686802409,0.0748445792992151,1,260,13295,6397,19432
138,47,26356.570183057418,0.035378214596769667,0,48,0,0,-48
139,53,55926.88222685659,0.22071456278783755,1,208,33513,1398,34703
140,42,54997.00664071688,0.3266351586666263,1,650,6180,2395,7925
141,27,30159.510289000256,0.015603935971732203,1,497,5283,1595,6381
142,38,25156.54267448016,0.0022799481278082266,1,173,7008,6570,13405
143,18,22328.695130480377,0.22518578684629467,0,47,0,0,-47
144,54,28165.49869397418,0.18414996073765758,1,675,10862,2115,12302
145,18,40691.80830308185,0.014837854914037853,1,626,7777,3034,10185
146,55,23786.354786304775,0.2879120240715565,0,1,0,0,-1
147,30,22397.978643832383,0.017996607134490306,1,238,29350,3778,32890
148,20,22125.315434883327,0.09134251424916609,1,332,7161,2069,8898
149,28,20598.04355279299,0.2511814713063382,1,318,6255,1850,7787
150,38,27529.554913834832,0.06349527577842737,1,1650,8583,1334,8267
151,41,32610.11149651965,0.19246831814140053,1,196,8493,2140,10437
152,30,25360.67217161823,0.19306144902507882,1,201,6001,6711,12511
153,25,29311.33669479639,0.1443687818542755,0,28,0,0,-28
154,52,22488.158415774367,0.004799633636183997,1,241,8662,1539,9960
155,22,35029.60789024073,0.004446360844627572,1,1290,12155,2328,13193
156,69,25291.710133425335,0.18981671327375985,1,379,19354,1433,20408
157,29,38855.3038876849,0.08176707736351452,1,722,13950,2614,15842
158,73,24687.795579845468,0.6103245619088268,0,128,0,0,-128
159,29,21553.039189424584,0.02980710743950784,1,727,7386,1738,8397
160,44,21220.33501784248,0.02046400851874902,1,84,5252,1726,6894
161,26,22348.41252924938,0.003123621287513932,1,89,8922,1611,10444
162,31,22313.94909250221,0.14329644489039198,1,348,13627,1370,14649
163,47,22493.952163350426,0.191413290803072,1,117,9684,2391,11958
164,34,20713.892899845545,0.11555537998855965,0,74,0,0,-74
165,65,20762.6706293361,0.1578182918669058,0,14,0,0,-14
166,71,32751.56208112849,0.08257711124592196,0,58,0,0,-58
167,31,95342.15318013704,0.014526992707303558,1,1022,14692,2482,16152
168,63,24219.853104105925,0.024826854273580817,0,26,0,0,-26
169,60,20871.053492240524,0.23808278785905415,1,1174,7997,2029,8852
170,28,61287.981747627506,0.5134203206396387,0,50,0,0,-50
171,64,20629.873013768116,0.1882845530052666,1,1601,8292,1926,8617
172,31,25013.492075534996,0.47868067021727284,0,34,0,0,-34
173,21,37133.226124515815,0.08427431649953812,1,990,7550,2220,8780
174,73,20931.372377726584,0.19815740060520334,0,36,0,0,-36
175,29,20787.868898501943,0.05503849835595527,1,217,30293,1359,31435
176,20,33064.376650341284,0.13362327186724982,1,637,7925,1545,8833
177,50,39916.53810206345,0.15527139647259838,1,409,6511,1446,7548
178,36,40532.21059443532,0.07833537010546304,1,522,82416,1377,83271
179,49,25529.228093952403,0.07064780695190549,0,13,0,0,-13
180,19,37050.310137265544,0.03904530241168687,1,166,5731,1562,7127
181,31,54268.0464352794,0.2414619789489403,1,824,6329,3389,8894
182,28,20637.32014074443,0.11967615727124167,1,760,6351,1925,7516
183,32,21021.506247444122,0.19977656236627614,1,488,5835,1605,6952
184,26,25189.867179900095,0.05628483703938846,1,432,10416,1337,11321
185,36,24229.902216033737,0.14304183252142424,0,82,0,0,-82
186,48,22455.897614768845,0.19076154958529679,1,544,9386,1378,10220
187,40,45717.41294725925,0.4401513855091911,1,136,5676,2246,7786
188,40,31545.563788470317,0.06471356695136594,1,61,18405,2930,21274
189,32,28411.89382017077,0.2569943671169148,1,218,5358,1373,6513
190,24,34692.5121928354,0.23219992904303574,1,180,6568,3164,9552
191,59,24387.501561017314,0.025703790847060697,1,754,5965,1358,6569
192,19,20708.743450721584,0.007000063594889498,1,86,9208,2250,11372
193,43,30678.661931522758,0.10290917171242003,1,640,7655,1851,8866
194,45,20452.01822963995,0.08459785725707905,1,208,6130,1705,7627
195,20,23065.91457605842,0.1424346297604641,1,53,5691,1405,7043
196,58,21868.35013285261,0.15096464042906693,0,116,0,0,-116
197,20,30497.541787089594,0.146493333524589,1,795,7341,1429,7975
198,32,39829.67084067011,0.07410628656427308,1,31,6977,1549,8495
199,38,21935.033515465162,0.02884988305689173,0,67,0,0,-67
200,54,32231.675598185764,0.050229998903203565,1,3238,8662,2957,8381
201,39,25235.050754550557,0.10281169423798163,1,213,5766,1412,6965
202,56,23888.68805404072,0.10290758384489732,1,1181,5894,1572,6285
203,34,29037.15387087544,0.03473162080137423,1,200,5320,1395,6515
204,22,35599.8396556231,0.23427662021838,0,5,0,0,-5
205,25,26291.938111448966,0.09474120151521409,1,567,8941,1479,9853
206,48,28044.85692133201,0.24818929184619626,1,603,10702,1592,11691
207,20,20459.31463063776,0.08762243305553331,1,407,8109,1438,9140
208,55,22377.256772635938,0.03415968691206859,1,177,5932,3320,9075
209,21,28744.755044530804,0.02970062970962462,1,714,5818,2180,7284
210,41,74642.8393946203,0.09494245986909261,0,10,0,0,-10
211,24,23496.425751763047,0.43002648803358196,0,6,0,0,-6
212,34,20383.627923912463,0.10705381747251075,1,1332,7301,2044,8013
213,65,45431.70520763996,0.14686273659590768,1,627,7021,2032,8426
214,24,25109.893118812874,0.20203333912714083,1,600,5642,3324,8366
215,42,20484.07713373556,0.00441064226934299,1,888,6842,2039,7993
216,37,21366.331527361377,0.36416860734471607,1,404,10648,1573,11817
217,64,20939.510696487665,0.08960098478594929,1,266,14006,2026,15766
218,32,25644.930731443026,0.10020609610156853,1,614,5406,1614,6406
219,24,100067.69770116106,0.254749940314213,0,101,0,0,-101
220,72,25590.253750127624,0.3116862662149033,1,519,33693,2376,35550
221,36,20615.936659807463,0.10911054020906887,1,128,6715,1717,8304
222,37,31318.553002996727,0.02695425267195945,1,216,8581,2414,10779
223,37,46601.67429584506,0.08742803416399883,1,587,5874,1698,6985
224,29,27905.134160401187,0.16657941881599397,1,454,7520,1771,8837
225,28,20061.375572338387,0.02640110566465868,0,25,0,0,-25
226,55,35565.08221965884,0.16924291438176212,0,64,0,0,-64
227,66,20450.976436745037,0.028854508598851646,1,201,5902,1799,7500
228,27,30693.842453120356,0.005784114643797741,1,269,6941,1484,8156
229,40,21160.32000875486,0.156479109285552,1,1021,6351,1541,6871
230,47,28096.618129397582,0.27981291381636997,1,484,7937,1979,9432
231,60,31708.497384507045,0.1994334790000327,1,268,48895,1368,49995
232,25,21081.08472075283,0.05870096300286864,1,1159,8042,1475,8358
233,21,24845.674125495276,0.0628522726179009,1,165,7081,1509,8425
234,30,26668.43946817643,0.34352251592594196,1,449,9701,1752,11004
235,65,23754.538218667567,0.4882986133515393,0,0,0,0,0
236,25,21312.593500212657,0.016774823200021927,0,194,0,0,-194
237,37,25250.173671879733,0.26017955121511943,1,530,6333,1497,7300
238,40,21472.78054756427,0.13991370033840217,1,282,5989,1412,7119
239,68,20539.592920586343,0.22884850463075287,1,445,8876,1339,9770
240,24,25367.615400535065,0.4064628758247675,0,62,0,0,-62
241,28,39180.67535092079,0.040350210309419335,0,83,0,0,-83
242,35,21198.881644073354,0.3474101974819037,1,149,5761,1682,7294
243,61,21124.919128668993,0.2809834343846573,0,15,0,0,-15
244,25,21315.70423810071,0.06192309545308589,1,204,10320,1379,11495
245,61,36672.03713273612,0.0649442834496063,0,39,0,0,-39
246,19,21915.530500144512,0.030487809394254214,0,43,0,0,-43
247,43,84554.69551506649,0.1913967814781993,1,58,6255,4389,10586
248,73,23893.024340551285,0.15245565209704484,1,191,5278,2226,7313
249,35,38004.7845084223,0.05689310124849665,1,309,6746,5051,11488
250,37,23880.63727388954,0.19832542964225455,1,206,7478,1667,8939
251,26,20924.533866780435,0.13706908473159285,1,738,36416,2492,38170
252,24,21425.54536115726,0.1637737009240991,1,1047,6313,1379,6645
253,20,31825.668384532783,0.03530518928468882,1,162,7567,3241,10646
254,45,22565.040181076933,0.05011215640974253,1,56,15057,1808,16809
