ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,26,22036.125167193244,0.05214353516575467,1,977,6742,1563,7328
1,28,37731.916437966385,0.277663984845143,0,2,0,0,-2
2,55,30867.527570810173,0.207134902240971,1,317,5540,2121,7344
3,53,25990.16187458569,0.16467505204337418,0,53,0,0,-53
4,21,29165.142378236455,0.42092220457646873,0,16,0,0,-16
5,51,27120.835850516833,0.18362085896627636,1,36,10205,1363,11532
6,38,63945.68213604588,0.09859801174614,1,561,9132,1562,10133
7,56,27824.66096881332,0.10171527824571212,1,253,6379,1350,7476
8,22,22955.57034058464,0.030058168241463432,1,366,7314,1587,8535
9,22,56215.41571698207,0.4154448142197573,1,117,5501,2283,7667
10,61,36502.27537363508,0.0582545485732841,1,562,9032,1616,10086
11,23,20172.403152419916,0.004504458851541964,1,436,5397,1344,6305
12,58,23864.375130592998,0.06087221837292877,1,354,19877,1546,21069
13,31,32728.501793134135,0.07043243635510127,1,914,12902,1750,13738
14,55,31463.9195828007,0.08128205512342626,1,706,9808,2211,11313
15,33,27996.192578827915,0.007040213968288509,0,16,0,0,-16
16,45,26156.99716968112,0.15530321181458195,0,32,0,0,-32
17,23,21883.538198832593,0.10228731074481405,1,475,5792,1636,6953
18,30,23629.713054378422,0.020297069909917274,1,50,5510,1726,7186
19,36,20511.01834998952,0.06626045274760871,1,184,49797,1533,51146
20,45,20814.981080997437,0.2278293212781999,1,1307,5392,1436,5521
21,43,23235.996418224768,0.14512600328342695,1,371,11447,2613,13689
22,18,21711.93207483599,0.011422847751030024,1,196,23593,1889,25286
23,38,26344.250353217663,0.07275650250747638,1,162,5496,1419,6753
24,33,26399.33108186931,0.11010469519520592,1,826,14997,1506,15677
25,49,21492.550460052367,0.1683440242841046,1,763,7174,1705,8116
26,20,20202.421760310226,0.10538814979465043,1,727,7059,1552,7884
27,39,41223.49507623206,0.034601751409225064,1,1430,10972,1621,11163
28,73,22804.401454830033,0.03597306480873413,0,33,0,0,-33
29,31,23468.413025478196,0.004527425500299173,1,562,5526,4122,9086
30,42,30074.653275771547,0.0449924106125768,1,306,20232,1367,21293
31,22,30417.200546413587,0.030212224390816212,1,409,7696,1411,8698
32,36,26470.78290002319,0.009319609205282641,1,1340,6619,1663,6942
33,26,21485.2070181001,0.07955846477482208,1,555,10741,1488,11674
34,18,36706.83370348705,0.022120473884008784,1,777,7595,1361,8179
35,41,21388.686491418186,0.18518315882915887,0,87,0,0,-87
36,21,37829.87636042299,0.22128148435899855,1,1180,5634,1411,5865
37,52,34180.098501651366,0.18102048458662565,1,119,5841,1419,7141
38,40,63515.49237356564,0.02396266051451364,1,684,6574,1676,7566
39,45,24186.05328587972,0.04286369857735359,1,1446,7866,2349,8769
40,21,20512.64870322056,0.07842051539416721,1,440,13090,1444,14094
41,59,28093.055046242825,0.35846746551057107,0,66,0,0,-66
42,55,21268.7898755571,0.15876633622791012,1,946,5746,1872,6672
43,40,27617.323599802825,0.0555465112402771,1,541,13478,1475,14412
44,19,21647.678888644637,0.3248508388031041,1,102,5422,2771,8091
45,20,26488.7479339814,0.22755636069258797,0,10,0,0,-10
46,47,22940.60540379421,0.11363987734317492,1,872,6409,1388,6925
47,71,24332.88395158703,0.12684984491379425,1,1186,7298,4465,10577
48,29,22219.92785175814,0.03106441867670789,0,8,0,0,-8
49,38,24779.499743589924,0.13810991696437688,1,484,9293,2183,10992
50,48,24835.912302365556,0.21032285665328243,1,2096,14038,1333,13275
51,39,22023.240548173395,0.16960562859897044,1,521,6109,1508,7096
52,70,29978.143678119115,0.06416733861330552,1,345,6588,3712,9955
53,26,25768.442304513566,0.5500609120808574,1,202,16702,1596,18096
54,28,81216.48475787987,0.04427758991709324,1,654,9963,2246,11555
55,36,21038.357299731535,0.10012023346678163,0,65,0,0,-65
56,50,41493.538881663626,0.01585001359996933,1,674,7091,1366,7783
57,39,30373.45941305748,0.32614870936445045,1,60,6090,1571,7601
58,29,69623.57002868806,0.25014986108717174,1,254,6211,1609,7566
59,49,31804.531688602354,0.043789244481274615,0,33,0,0,-33
60,22,20664.987287618802,0.22810428231638874,1,312,6675,5805,12168
61,29,31767.373942109574,0.16102759248912846,1,286,8934,1667,10315
62,44,25558.42901707141,0.09600488812527257,1,1184,7383,3220,9419
63,66,20328.409708253534,0.38317469038402396,0,86,0,0,-86
64,51,21457.243659548272,0.18834857433049434,1,188,5557,1389,6758
65,23,28202.121477412315,0.03994007685188589,1,265,7815,1344,8894
66,32,38603.28318341273,0.044718679062315796,1,414,6008,1718,7312
67,69,22442.446210267695,0.054248352170735814,1,866,5389,1480,6003
68,31,22744.216046728787,0.01653940965542962,1,86,6873,2189,8976
69,32,24786.45448732566,0.16314661366883074,0,60,0,0,-60
70,44,32484.91794202302,0.13987041880162776,1,280,5678,5287,10685
71,22,27601.879569842306,0.02518530602383488,1,37,6824,2095,8882
72,45,24464.89179881449,0.06355177486967717,0,53,0,0,-53
73,19,31338.072388666995,0.009274090435438188,1,487,14007,1410,14930
74,31,56244.4882031347,0.18439982917162265,1,778,5384,2507,7113
75,62,61160.399911120825,0.09653859518151857,1,225,6979,2139,8893
76,58,24717.41524567026,0.4039662910956013,0,10,0,0,-10
77,21,30161.923853329405,0.02507141796381851,1,670,9381,2025,10736
78,54,20498.051983927384,0.0494384665175041,0,23,0,0,-23
79,18,25957.68588178073,0.12713969897107613,1,181,5742,1596,7157
80,29,28347.82597425163,0.0675912859732877,1,1473,8474,2441,9442
81,37,23797.472054192505,0.04737711160153382,1,532,5978,2512,7958
82,40,30490.708004850592,0.0606519342733395,1,1040,5536,1588,6084
83,42,25522.669916858486,0.19401503521907437,0,53,0,0,-53
84,26,24823.05667349696,0.20921486885711177,1,1364,5583,1454,5673
85,24,26740.98801847006,0.00420525468695036,1,559,5605,1747,6793
86,68,28482.988689980808,0.04079845199968056,1,99,6386,1525,7812
87,37,42271.94587456994,0.11465031163803521,0,100,0,0,-100
88,21,28825.265055951393,0.055333863532472785,1,334,7812,2273,9751
89,43,33895.235134007955,0.009153240354768024,1,892,12380,2272,13760
90,24,52796.92055249882,0.1205359967695141,1,526,5559,1523,6556
91,49,22265.421533508914,0.04610773540925855,1,438,8804,1767,10133
92,22,21673.844106811684,0.13194796543986895,1,764,5904,3430,8570
93,36,21632.017902875807,0.009954938836177464,1,161,7750,1948,9537
94,18,24507.62793865028,0.012967578393475282,1,609,11824,1719,12934
95,48,51742.13192110211,0.12669492370519872,1,634,5478,1420,6264
96,33,47490.40207428788,0.07539763857960873,1,374,5863,1584,7073
97,52,61221.15455759212,0.08319246876068763,1,2847,5533,1378,4064
98,40,22386.778785477294,0.1097779290084403,1,141,8280,2506,10645
99,72,109239.18431070138,0.20704369979827758,0,41,0,0,-41
100,46,23562.43986462256,0.15902360047842817,1,240,5842,2446,8048
101,73,26489.55661478369,0.0004332596452132361,1,52,6655,2422,9025
102,69,20144.721076492457,0.155107640130839,0,24,0,0,-24
103,47,21447.60310111401,0.13999729717623433,1,45,22375,1638,23968
104,63,23930.065573893517,0.20457243188759397,1,625,5596,4070,9041
105,41,48486.31175155531,0.0673903516860436,1,197,7535,1522,8860
106,33,24175.691419987157,0.2382165335696198,1,1001,13057,1571,13627
107,52,23278.619984115812,0.011832181463235687,1,93,6670,1523,8100
108,39,22890.963969129672,0.2395509546847163,0,10,0,0,-10
109,23,20030.428961778245,0.11346234201659354,1,663,7223,1357,7917
110,18,21200.193176232977,0.25631593566216304,0,0,0,0,0
111,62,26024.48338241634,0.18793482268048103,1,168,6352,1877,8061
112,47,24229.71746088581,0.012792938851331499,1,1082,6175,1420,6513
113,24,29596.06873154286,0.22922674312363445,1,62,10000,6331,16269
114,52,29904.07463457371,0.18588473408888317,1,433,21976,1736,23279
115,60,43312.2780770216,0.17814368245166134,1,280,9728,1791,11239
116,24,22764.31799492397,0.17487289795651026,1,44,5330,1681,6967
117,30,20572.324992388734,0.02925050608029072,1,545,6212,1572,7239
118,57,20683.624057165274,0.004706157549560927,1,402,7202,1415,8215
